EXTENSIONS	DESCRIPTION	ICONFILE	COMPRESSIBLE	PREVENT_HOTLINKING
html,htm,xhtml	Static Page	icon_html.gif	true	false
jsp,asp,php,shtml,cgi,pl	Server-Side Page	icon_html.gif	true	false
gif,jpg,jpeg,png,mng	Web Image	icon_image.gif	false	true
java,class,tld	Java File	icon_java.gif	true	false
jar,war	Java Archive	icon_java.gif	false	false
xml,dtd,xsl	XML File	icon_xml.gif	true	false
wav,mp3,au,wma	Audio File	icon_audio.gif	false	true
avi,mpg,mpeg,wmv,mov	Video File	icon_video.gif	false	true
zip,rar,tar,gz,tgz,rpm,bz2,z	Archive	icon_archive.gif	false	true
txt,log	Plain Text File	icon_text.gif	true	false
css	Style Sheet File	icon_style.gif	true	false
js	JavaScript File	icon_script.gif	true	false
exe,bin	Executable File	icon_program.gif	false	true
doc,rtf	Word Document	icon_word.gif	false	true
xls	Excel Document	icon_excel.gif	false	true
ppt,pps	PowerPoint Document	icon_powerpoint.gif	false	true
pdf	Adobe PDF	icon_pdf.gif	false	true
bmp,tif,tiff,tga,psd	Image	icon_image.gif	false	true
ico	Icon	icon_image.gif	true	false
swf	Macromedia Flash File	icon_flash.gif	false	false
isc	Isaac File	icon_isaac.gif	false	true
